contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
AAPL260618P00230000,2025-02-14 15:51:44+00:00,230.0,16.35,16.05,16.4,-0.8999996,-5.217389,100.0,1531.0,0.21073176971435548,False,REGULAR,USD,2026-06-18
AAPL260618P00235000,2025-02-13 19:24:45+00:00,235.0,18.2,17.85,18.15,-0.76999855,-4.059033,1.0,396.0,0.2054065055847168,False,REGULAR,USD,2026-06-18
AAPL260618P00240000,2025-02-14 17:15:16+00:00,240.0,20.15,19.75,20.1,-1.0500011,-4.9528356,30.0,598.0,0.2005390005493164,False,REGULAR,USD,2026-06-18
AAPL260618P00245000,2025-02-14 20:15:06+00:00,245.0,22.25,21.85,22.25,-1.4099998,-5.9594245,42.0,401.0,0.19603770278930666,True,REGULAR,USD,2026-06-18
AAPL260618P00250000,2025-02-13 16:03:47+00:00,250.0,26.25,24.1,24.5,0.0,0.0,1.0,540.0,0.1909260595703125,True,REGULAR,USD,2026-06-18
AAPL260618P00255000,2025-02-03 19:48:00+00:00,255.0,35.15,26.55,26.95,0.0,0.0,6.0,712.0,0.18602803726196288,True,REGULAR,USD,2026-06-18
AAPL260618P00260000,2025-02-07 15:53:19+00:00,260.0,37.15,29.1,29.55,0.0,0.0,5.0,288.0,0.1808248422241211,True,REGULAR,USD,2026-06-18
AAPL260618P00265000,2025-01-31 14:53:36+00:00,265.0,33.2,31.9,32.4,0.0,0.0,2.0,116.0,0.17618621673583984,True,REGULAR,USD,2026-06-18
AAPL260618P00270000,2025-02-14 14:52:24+00:00,270.0,35.42,34.85,35.3,-15.410004,-30.316748,1.0,151.0,0.17017431396484378,True,REGULAR,USD,2026-06-18
AAPL260618P00275000,2025-02-13 20:15:11+00:00,275.0,39.94,37.7,38.6,0.0,0.0,1.0,20.0,0.1660849993896485,True,REGULAR,USD,2026-06-18
AAPL260618P00280000,2025-02-05 15:18:11+00:00,280.0,53.03,41.0,42.05,0.0,0.0,4.0,99.0,0.16156844299316403,True,REGULAR,USD,2026-06-18
AAPL260618P00285000,2025-01-21 15:22:05+00:00,285.0,64.0,43.75,45.45,0.0,0.0,3.0,14.0,0.15418326293945314,True,REGULAR,USD,2026-06-18
AAPL260618P00290000,2025-02-03 17:46:45+00:00,290.0,64.41,48.15,49.1,0.0,0.0,2.0,47.0,0.14692015197753905,True,REGULAR,USD,2026-06-18
AAPL260618P00300000,2025-02-14 19:56:15+00:00,300.0,57.1,56.3,57.45,-13.900002,-19.577467,1.0,0.0,0.1388025573730469,True,REGULAR,USD,2026-06-18
AAPL260618P00310000,2024-12-11 16:45:57+00:00,310.0,61.2,78.5,81.0,0.0,0.0,2.0,1.0,0.31735912139892575,True,REGULAR,USD,2026-06-18
AAPL260618P00320000,2025-02-14 16:05:49+00:00,320.0,76.11,73.5,76.65,-1.9400024,-2.4855893,1.0,0.0,0.15076532836914067,True,REGULAR,USD,2026-06-18
AAPL260618P00340000,2024-12-16 05:11:34+00:00,340.0,109.74,110.6,113.65,0.0,0.0,4.0,0.0,0.3993895510864258,True,REGULAR,USD,2026-06-18
AAPL260618P00350000,2024-11-29 15:43:14+00:00,350.0,113.76,118.25,120.9,0.0,0.0,2.0,0.0,0.3879303150939941,True,REGULAR,USD,2026-06-18
AAPL260618P00370000,2025-01-06 15:17:33+00:00,370.0,124.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18
AAPL260618P00390000,2025-02-17 05:05:06+00:00,390.0,146.03,,,0.0,0.0,,,0.0,True,REGULAR,USD,2026-06-18
AAPL261218P00005000,2025-01-07 14:40:21+00:00,5.0,0.02,0.0,0.0,0.0,0.0,1.0,26.0,0.500005,False,REGULAR,USD,2026-12-18
AAPL261218P00010000,2025-01-07 16:16:46+00:00,10.0,0.02,0.0,0.0,0.0,0.0,1.0,116.0,0.500005,False,REGULAR,USD,2026-12-18
AAPL261218P00015000,2025-02-04 18:09:20+00:00,15.0,0.06,0.0,0.13,0.0,0.0,1.0,2.0,0.7695335546875001,False,REGULAR,USD,2026-12-18
AAPL261218P00020000,2024-11-21 14:59:47+00:00,20.0,0.09,0.06,0.11,0.0,0.0,5.0,26.0,0.7070341796875,False,REGULAR,USD,2026-12-18
AAPL261218P00025000,2025-01-24 16:33:20+00:00,25.0,0.13,0.07,0.19,0.0,0.0,1.0,222.0,0.6728548339843752,False,REGULAR,USD,2026-12-18
AAPL261218P00030000,2025-02-13 14:36:16+00:00,30.0,0.14,0.12,0.18,0.0,0.0,131.0,568.0,0.6279334082031252,False,REGULAR,USD,2026-12-18
AAPL261218P00035000,2025-01-29 19:15:51+00:00,35.0,0.19,0.13,0.23,0.0,0.0,50.0,236.0,0.5937540625000001,False,REGULAR,USD,2026-12-18
AAPL261218P00040000,2025-01-21 16:04:17+00:00,40.0,0.25,0.17,0.29,0.0,0.0,5.0,55.0,0.5698285205078125,False,REGULAR,USD,2026-12-18
AAPL261218P00045000,2025-02-06 15:55:10+00:00,45.0,0.24,0.2,0.32,0.0,0.0,105.0,136.0,0.5415084912109377,False,REGULAR,USD,2026-12-18
AAPL261218P00050000,2025-02-13 20:46:40+00:00,50.0,0.29,0.23,0.32,0.0,0.0,1.0,1059.0,0.5117236328125,False,REGULAR,USD,2026-12-18
AAPL261218P00060000,2025-01-28 14:50:16+00:00,60.0,0.4,0.34,0.38,0.0,0.0,1.0,649.0,0.47461462890625,False,REGULAR,USD,2026-12-18
AAPL261218P00070000,2025-01-27 15:30:49+00:00,70.0,0.46,0.38,0.55,0.0,0.0,1.0,167.0,0.4480035668945312,False,REGULAR,USD,2026-12-18
AAPL261218P00080000,2025-01-31 18:17:41+00:00,80.0,0.66,0.5,0.67,0.0,0.0,3.0,3189.0,0.4151669812011719,False,REGULAR,USD,2026-12-18
AAPL261218P00085000,2025-02-14 16:03:16+00:00,85.0,0.65,0.57,0.74,-0.02000004,-2.9850807,1.0,190.0,0.40039662109375,False,REGULAR,USD,2026-12-18
AAPL261218P00090000,2025-02-14 19:23:14+00:00,90.0,0.74,0.65,0.82,-0.03999996,-5.1282005,2.0,2174.0,0.38684695190429685,False,REGULAR,USD,2026-12-18
AAPL261218P00095000,2025-02-03 17:43:36+00:00,95.0,1.02,0.74,0.91,0.0,0.0,4.0,1983.0,0.37415176635742187,False,REGULAR,USD,2026-12-18
AAPL261218P00100000,2025-02-14 19:49:50+00:00,100.0,0.93,0.91,1.01,-0.029999971,-3.1249971,1.0,2596.0,0.3621889953613281,False,REGULAR,USD,2026-12-18
AAPL261218P00105000,2025-01-28 16:53:52+00:00,105.0,1.19,0.96,1.14,0.0,0.0,9.0,2809.0,0.35193519165039056,False,REGULAR,USD,2026-12-18
AAPL261218P00110000,2025-01-31 15:23:34+00:00,110.0,1.24,1.09,1.27,0.0,0.0,1.0,1718.0,0.3414372497558594,False,REGULAR,USD,2026-12-18
AAPL261218P00115000,2025-02-03 16:56:51+00:00,115.0,1.7,1.24,1.43,0.0,0.0,400.0,1473.0,0.3321599987792969,False,REGULAR,USD,2026-12-18
AAPL261218P00120000,2025-02-14 15:39:48+00:00,120.0,1.51,1.41,1.6,-0.32000005,-17.48634,1.0,1453.0,0.3228827478027343,False,REGULAR,USD,2026-12-18
AAPL261218P00125000,2025-02-04 16:46:32+00:00,125.0,1.94,1.61,1.8,0.0,0.0,326.0,3881.0,0.31439894592285156,False,REGULAR,USD,2026-12-18
AAPL261218P00130000,2025-02-10 18:27:54+00:00,130.0,2.37,1.83,2.03,0.0,0.0,194.0,1236.0,0.30652548950195313,False,REGULAR,USD,2026-12-18
AAPL261218P00135000,2025-02-10 18:27:54+00:00,135.0,2.73,2.08,2.29,0.0,0.0,97.0,1660.0,0.2990792749023437,False,REGULAR,USD,2026-12-18
AAPL261218P00140000,2025-02-14 19:37:29+00:00,140.0,2.52,2.42,2.59,-0.53,-17.377048,6.0,1257.0,0.292151853942871,False,REGULAR,USD,2026-12-18
AAPL261218P00145000,2025-02-10 18:27:59+00:00,145.0,3.58,2.74,2.93,0.0,0.0,309.0,952.0,0.285590640258789,False,REGULAR,USD,2026-12-18
AAPL261218P00150000,2025-02-14 19:37:29+00:00,150.0,3.24,3.1,3.35,-0.16000009,-4.7058845,6.0,2184.0,0.2802196002197265,False,REGULAR,USD,2026-12-18
AAPL261218P00155000,2025-02-14 20:54:04+00:00,155.0,3.67,3.55,3.8,-0.5799999,-13.647057,1.0,665.0,0.27457390472412113,False,REGULAR,USD,2026-12-18
AAPL261218P00160000,2025-02-11 19:53:54+00:00,160.0,4.88,4.05,4.3,0.0,0.0,2.0,1503.0,0.2691113128662109,False,REGULAR,USD,2026-12-18
AAPL261218P00165000,2025-02-14 17:32:05+00:00,165.0,4.75,4.55,4.85,-1.0,-17.391304,1.0,590.0,0.26367923828125,False,REGULAR,USD,2026-12-18
AAPL261218P00170000,2025-02-14 18:02:24+00:00,170.0,5.3,5.15,5.45,-0.3499999,-6.194689,9.0,1084.0,0.25830819824218754,False,REGULAR,USD,2026-12-18
AAPL261218P00175000,2025-02-14 15:40:28+00:00,175.0,6.02,5.85,6.15,-0.3800001,-5.937502,3.0,1158.0,0.25357802093505866,False,REGULAR,USD,2026-12-18
AAPL261218P00180000,2025-02-13 19:58:35+00:00,180.0,7.1,6.55,6.95,0.059999943,0.8522719,1.0,1479.0,0.2493513786315918,False,REGULAR,USD,2026-12-18
AAPL261218P00185000,2025-02-12 14:40:14+00:00,185.0,9.3,7.5,7.75,0.0,0.0,1.0,603.0,0.24420921813964847,False,REGULAR,USD,2026-12-18
AAPL261218P00190000,2025-02-11 16:08:21+00:00,190.0,9.9,8.25,8.65,0.0,0.0,1.0,2969.0,0.23941800628662108,False,REGULAR,USD,2026-12-18
AAPL261218P00195000,2025-01-31 15:07:01+00:00,195.0,9.78,9.25,9.7,0.0,0.0,1.0,883.0,0.23546601943969725,False,REGULAR,USD,2026-12-18
AAPL261218P00200000,2025-02-14 20:09:15+00:00,200.0,10.65,10.4,10.75,-0.45000076,-4.054061,17.0,9549.0,0.23056799713134768,False,REGULAR,USD,2026-12-18
AAPL261218P00210000,2025-02-14 20:26:44+00:00,210.0,13.1,12.85,13.2,-2.25,-14.65798,46.0,1565.0,0.2215806602478027,False,REGULAR,USD,2026-12-18
